object_probs,left,top,right,bottom
motorbike 0.86989,511,310,540,343
motorbike 0.86592,864,381,913,434
motorbike 0.83077,595,349,625,390
motorbike 0.67351,243,348,268,385
motorbike 0.66342,540,312,568,343
motorbike 0.63728,552,333,579,357
motorbike 0.50695,423,274,459,293
motorbike 0.50459,420,272,440,290
car 0.97629,700,284,821,335
person 0.92344,240,334,267,378
person 0.88889,516,296,540,323
person 0.86649,868,364,910,427
person 0.80718,349,274,369,307
person 0.73934,538,299,561,325
person 0.59476,596,335,625,370
person 0.56928,224,269,244,309
person 0.56384,330,268,351,312
