object_probs,left,top,right,bottom
truck 0.88811,265,442,479,642
motorbike 0.98242,674,492,743,583
motorbike 0.97227,770,489,840,573
motorbike 0.93084,565,452,609,522
motorbike 0.88729,309,251,328,277
motorbike 0.83769,926,514,1013,632
person 0.54771 motorbike 0.79432,338,230,350,253
motorbike 0.50026,153,559,201,634
car 0.94300,371,244,423,285
car 0.75134,254,263,299,312
car 0.67728,284,427,484,660
person 0.91990,775,448,827,543
person 0.83203,677,458,729,534
person 0.82196,561,420,605,487
person 0.55116,146,503,194,613
