object_probs,left,top,right,bottom
motorbike 0.81818,284,351,309,390
motorbike 0.80580,66,452,117,535
motorbike 0.74630,201,373,231,413
person 0.89301 motorbike 0.64151,329,285,352,323
motorbike 0.57538,692,586,789,645
car 0.87878,511,235,550,259
car 0.82034,548,209,584,236
person 0.92832,199,341,231,405
person 0.85022,259,282,284,325
person 0.84122,65,440,113,514
person 0.77839,279,323,312,385
person 0.77335,305,255,323,288
person 0.73022,735,532,790,627
person 0.70601,354,250,376,282
person 0.52362,185,255,212,284
